Date,Price bitcoin,Price cardano,Price chainlink,Price dogecoin,Price ethereum,Price litecoin,Price ripple,Price polkadot,Price solana,Price uniswap
2021-01-02,32163.82,0.178,12.22,0.0106,777.7,137.7,0.222,9.22,1.8,4.86
2021-01-03,33008.23,0.205,13.65,0.01009,967.0,159.5,0.226,10.28,2.15,5.41
2021-01-04,31515.58,0.219,13.31,0.00959,1025.65,152.07,0.235,9.26,2.42,5.27
2021-01-05,34082.21,0.259,14.58,0.00984,1103.36,159.06,0.227,9.74,2.16,6.33
2021-01-06,36933.52,0.332,17.13,0.01046,1208.58,169.28,0.252,10.1,1.92,6.41
2021-01-07,39547.08,0.301,16.06,0.00978,1229.47,170.37,0.325,9.65,2.37,6.28
2021-01-08,40815.96,0.308,15.29,0.00989,1223.73,173.14,0.322,9.31,3.23,5.9
2021-01-09,40296.53,0.333,17.68,0.01022,1282.98,177.89,0.329,9.78,3.39,6.26
2021-01-10,38397.9,0.306,16.27,0.00988,1267.73,171.36,0.319,9.33,3.47,6.02
2021-01-11,35669.91,0.277,14.53,0.00886,1092.91,139.7,0.29,8.29,3.11,5.24
2021-01-12,33938.34,0.288,13.9,0.00807,1045.41,133.0,0.294,8.26,3.59,5.56
2021-01-13,37456.01,0.311,15.96,0.00865,1132.02,147.52,0.306,11.02,3.52,6.33
2021-01-14,39232.75,0.31,17.73,0.00947,1216.91,152.22,0.296,14.39,3.28,6.83
2021-01-15,36787.52,0.303,20.61,0.00933,1171.86,143.88,0.28,13.2,3.26,7.37
2021-01-16,36254.71,0.352,20.5,0.00926,1234.63,144.27,0.28,18.28,3.45,8.42
2021-01-17,35804.26,0.38,23.3,0.00903,1229.38,142.33,0.277,16.94,3.82,8.67
2021-01-18,36595.46,0.37,21.97,0.00916,1255.98,152.06,0.285,16.42,3.78,9.19
2021-01-19,36104.86,0.369,20.84,0.00905,1383.48,153.43,0.295,16.5,3.64,8.62
2021-01-20,35587.49,0.376,21.9,0.00905,1385.85,149.86,0.296,17.97,3.73,9.03
2021-01-21,30913.7,0.311,18.47,0.00816,1122.91,130.16,0.269,16.0,3.0,7.64
2021-01-22,32957.91,0.351,21.66,0.00852,1236.68,137.95,0.273,17.15,3.34,8.71
2021-01-23,32068.09,0.346,24.75,0.00857,1231.18,137.74,0.271,18.6,3.5,9.3
2021-01-24,32273.52,0.352,24.69,0.00873,1392.54,141.74,0.274,18.0,3.63,12.01
2021-01-25,32375.32,0.344,23.66,0.00837,1323.43,137.36,0.269,17.26,3.71,11.4
2021-01-26,32582.11,0.344,23.03,0.00828,1355.23,134.73,0.269,17.11,4.03,13.8
2021-01-27,30445.53,0.312,21.06,0.00744,1253.14,122.81,0.252,15.46,3.7,14.83
2021-01-28,33128.35,0.345,23.13,0.03264,1328.77,133.5,0.264,16.95,3.82,14.16
2021-01-29,34150.82,0.348,22.72,0.04735,1380.28,134.68,0.282,16.81,3.86,15.65
